CellCode	CellType
ov34__c00450	Normal
ov34__c00455	Normal
ov34__c00472	Tumor
ov34__c00495	Normal
ov34__c00517	Tumor
ov34__c00519	Tumor
ov34__c00571	Tumor
ov34__c00573	Tumor
ov34__c00611	Normal
ov34__c00612	Tumor
ov34__c00620	Tumor
ov34__c00640	Tumor
ov34__c00668	Normal
ov34__c00670	Tumor
ov34__c00671	Normal
ov34__c00707	Normal
ov34__c00717	Tumor
ov34__c00723	Tumor
ov34__c00732	Normal
ov34__c00744	Normal
ov34__c00749	Tumor
ov34__c00750	Tumor
ov34__c00778	Normal
ov34__c00785	Tumor
ov34__c00816	Tumor
ov34__c00832	Normal
ov34__c00852	Tumor
ov34__c00879	Tumor
ov34__c00907	Tumor
ov34__c00941	Tumor
ov34__c00960	Tumor
ov34__c00968	Tumor
ov34__c01008	Normal
ov34__c01011	Tumor
ov34__c01038	Tumor
ov34__c01058	Tumor
ov34__c01072	Tumor
ov34__c01073	Tumor
ov34__c01097	Normal
ov34__c01102	Normal
ov34__c01118	Tumor
ov34__c01139	Tumor
ov34__c01149	Normal
ov34__c01159	Tumor
ov34__c01169	Tumor
ov34__c01176	Normal
ov34__c01177	Tumor
ov34__c01212	Normal
ov34__c01213	Tumor
ov34__c01228	Tumor
ov34__c01253	Tumor
ov34__c01284	Normal
ov34__c01331	Normal
ov34__c01332	Tumor
ov34__c01342	Tumor
ov34__c01353	Normal
ov34__c01366	Normal
ov34__c01388	Normal
ov34__c01391	Tumor
ov34__c01471	Tumor
ov34__c01478	Tumor
ov34__c01479	Tumor
ov34__c01541	Tumor
ov34__c01554	Tumor
ov34__c01593	Tumor
ov34__c01599	Normal
ov34__c01602	Tumor
ov34__c01622	Normal
ov34__c01630	Tumor
ov34__c01648	Normal
ov34__c01655	Tumor
ov34__c01674	Normal
ov34__c01685	Normal
ov34__c01686	Tumor
ov34__c01695	Tumor
ov34__c01702	Tumor
ov34__c01712	Tumor
ov34__c01746	Tumor
ov34__c01758	Tumor
ov34__c01769	Tumor
ov34__c01801	Tumor
ov34__c01809	Tumor
ov34__c01830	Tumor
ov34__c01878	Tumor
ov34__c01882	Tumor
ov34__c01910	Tumor
ov34__c01929	Normal
ov34__c01947	Tumor
ov34__c01971	Tumor
ov34__c01980	Normal
ov34__c01999	Tumor
ov34__c02022	Normal
ov34__c02051	Tumor
ov34__c02081	Tumor
ov34__c02116	Tumor
ov34__c02129	Tumor
ov34__c02137	Tumor
ov34__c02143	Tumor
ov34__c02164	Tumor
ov34__c02170	Tumor
ov34__c02214	Normal
ov34__c02229	Tumor
ov34__c02231	Tumor
ov34__c02260	Tumor
ov34__c02296	Tumor
ov34__c02306	Tumor
ov34__c02311	Tumor
ov34__c02329	Tumor
ov34__c02338	Tumor
ov34__c02351	Tumor
ov34__c02390	Tumor
ov34__c02400	Tumor
ov34__c02405	Tumor
ov34__c02417	Tumor
ov34__c02419	Tumor
ov34__c02436	Tumor
ov34__c02454	Tumor
ov34__c02501	Tumor
ov34__c02524	Tumor
ov34__c02527	Tumor
ov34__c02540	Tumor
ov34__c02564	Tumor
ov34__c02577	Normal
ov34__c02606	Tumor
ov34__c02617	Tumor
ov34__c02620	Normal
ov34__c02623	Tumor
ov34__c02636	Tumor
ov34__c02651	Tumor
ov34__c02711	Normal
ov34__c02721	Tumor
ov34__c02724	Tumor
ov34__c02726	Tumor
ov34__c02865	Tumor
ov34__c02868	Tumor
ov34__c02886	Tumor
ov34__c02891	Tumor
ov34__c02896	Tumor
ov34__c02924	Normal
ov34__c02935	Tumor
ov34__c02966	Normal
ov34__c02976	Tumor
ov34__c02999	Tumor
ov34__c03015	Tumor
ov34__c03046	Tumor
ov34__c03079	Tumor
ov34__c03111	Normal
ov34__c03136	Normal
ov34__c03150	Tumor
ov34__c03195	Tumor
ov34__c03209	Normal
ov34__c03263	Tumor
ov34__c03288	Tumor
ov34__c03299	Tumor
ov34__c03312	Normal
ov34__c03327	Tumor
ov34__c03328	Tumor
ov34__c03387	Normal
ov34__c03396	Normal
ov34__c03414	Normal
ov34__c03449	Tumor
ov34__c03461	Tumor
ov34__c03515	Tumor
ov34__c03525	Tumor
ov34__c03567	Tumor
ov34__c03576	Tumor
ov34__c03579	Normal
ov34__c03600	Tumor
ov34__c03604	Tumor
ov34__c03614	Tumor
ov34__c03616	Tumor
ov34__c03729	Tumor
ov34__c03744	Tumor
ov34__c03776	Tumor
ov34__c03803	Tumor
ov34__c03827	Tumor
ov34__c03891	Tumor
ov34__c03893	Tumor
ov34__c03900	Tumor
ov34__c03910	Normal
ov34__c03920	Tumor
ov34__c03951	Tumor
ov34__c03972	Tumor
ov34__c03983	Tumor
ov34__c03990	Tumor
ov34__c04024	Tumor
ov39__c00043	Tumor
ov39__c00119	Normal
ov39__c00196	Tumor
ov39__c00200	Tumor
ov39__c00254	Tumor
ov39__c00256	Tumor
ov39__c00263	Tumor
ov39__c00282	Tumor
ov39__c00290	Tumor
ov39__c00339	Tumor
ov39__c00390	Tumor
ov39__c00418	Tumor
ov39__c00478	Tumor
ov39__c00487	Tumor
ov39__c00492	Tumor
ov39__c00510	Tumor
ov39__c00517	Tumor
ov39__c00542	Tumor
ov39__c00549	Tumor
ov39__c00614	Tumor
ov39__c00617	Tumor
ov39__c00627	Tumor
ov39__c00646	Tumor
ov39__c00656	Tumor
ov39__c00661	Tumor
ov39__c00664	Tumor
ov39__c00683	Tumor
ov39__c00691	Tumor
ov39__c00704	Normal
ov39__c00725	Tumor
ov39__c00731	Tumor
ov39__c00780	Normal
ov39__c00784	Tumor
ov39__c00798	Normal
ov39__c00821	Tumor
ov39__c00889	Tumor
ov39__c00903	Tumor
ov39__c00912	Tumor
ov39__c00925	Tumor
ov39__c00941	Tumor
ov39__c00943	Tumor
ov39__c00959	Tumor
ov39__c00967	Normal
ov39__c00970	Tumor
ov39__c00997	Tumor
ov39__c01001	Tumor
ov39__c01067	Tumor
ov39__c01090	Tumor
ov39__c01134	Normal
ov39__c01141	Tumor
ov39__c01143	Normal
ov39__c01195	Normal
ov39__c01221	Tumor
ov39__c01229	Tumor
ov39__c01238	Tumor
ov39__c01240	Tumor
ov39__c01271	Tumor
ov39__c01275	Tumor
ov39__c01331	Tumor
ov39__c01332	Tumor
ov39__c01349	Tumor
ov39__c01363	Tumor
ov39__c01377	Tumor
ov39__c01393	Tumor
ov39__c01452	Tumor
ov39__c01465	Normal
ov39__c01480	Tumor
ov39__c01490	Tumor
ov39__c01521	Tumor
ov39__c01525	Tumor
ov39__c01527	Tumor
ov39__c01555	Tumor
ov39__c01574	Tumor
ov39__c01582	Tumor
ov39__c01592	Tumor
ov39__c01599	Tumor
ov39__c01640	Tumor
ov39__c01643	Tumor
ov39__c01674	Tumor
ov39__c01744	Tumor
ov39__c01843	Tumor
ov39__c01861	Normal
ov39__c01943	Tumor
ov39__c02002	Tumor
ov39__c02010	Tumor
ov39__c02013	Tumor
ov39__c02014	Tumor
ov39__c02035	Tumor
ov39__c02048	Normal
ov39__c02092	Tumor
ov39__c02098	Tumor
ov39__c02161	Tumor
ov39__c02183	Tumor
ov39__c02211	Normal
ov39__c02236	Tumor
ov39__c02271	Tumor
ov39__c02292	Tumor
ov39__c02297	Normal
ov39__c02309	Tumor
ov39__c02314	Tumor
ov39__c02347	Tumor
ov39__c02350	Tumor
ov39__c02357	Tumor
ov39__c02398	Tumor
ov39__c02450	Tumor
ov39__c02453	Tumor
ov39__c02465	Tumor
ov39__c02468	Tumor
ov39__c02534	Tumor
ov39__c02558	Tumor
ov39__c02588	Tumor
ov39__c02590	Tumor
ov39__c02605	Tumor
ov39__c02617	Normal
ov39__c02704	Tumor
ov39__c02721	Tumor
ov39__c02739	Tumor
ov39__c02750	Tumor
ov39__c02761	Tumor
ov39__c02790	Normal
ov39__c02806	Tumor
ov39__c02808	Tumor
ov39__c02836	Tumor
ov39__c02837	Tumor
ov39__c02844	Tumor
ov39__c02890	Tumor
ov39__c02914	Normal
ov39__c02920	Tumor
ov39__c02923	Tumor
ov39__c02965	Tumor
ov39__c03018	Tumor
ov39__c03056	Tumor
ov39__c03058	Normal
ov39__c03083	Tumor
ov39__c03085	Tumor
ov39__c03121	Tumor
ov39__c03160	Tumor
ov39__c03172	Tumor
ov39__c03192	Tumor
ov39__c03215	Tumor
ov39__c03227	Tumor
ov39__c03252	Tumor
ov39__c03321	Tumor
ov39__c03328	Normal
ov39__c03398	Tumor
ov39__c03450	Tumor
ov39__c03454	Tumor
ov39__c03505	Tumor
ov39__c03514	Tumor
ov39__c03621	Tumor
ov39__c03634	Tumor
ov39__c03652	Tumor
ov39__c03660	Tumor
ov39__c03673	Tumor
ov39__c03677	Tumor
ov39__c03700	Tumor
ov66__c00011	Normal
ov66__c00014	Normal
ov66__c00034	Normal
ov66__c00086	Normal
ov66__c00126	Normal
ov66__c00132	Normal
ov66__c00133	Tumor
ov66__c00184	Normal
ov66__c00200	Normal
ov66__c00213	Normal
ov66__c00226	Normal
ov66__c00239	Normal
ov66__c00243	Tumor
ov66__c00260	Normal
ov66__c00278	Normal
ov66__c00291	Normal
ov66__c00309	Normal
ov66__c00327	Normal
ov66__c00337	Normal
ov66__c00341	Tumor
ov66__c00396	Normal
ov66__c00405	Normal
ov66__c00425	Normal
ov66__c00432	Normal
ov66__c00458	Normal
ov66__c00465	Normal
ov66__c00472	Normal
ov66__c00479	Normal
ov66__c00482	Normal
ov66__c00531	Normal
ov66__c00550	Normal
ov66__c00579	Normal
ov66__c00582	Normal
ov66__c00586	Normal
ov66__c00624	Normal
ov66__c00633	Normal
ov66__c00678	Normal
ov66__c00683	Normal
ov66__c00689	Tumor
ov66__c00737	Normal
ov66__c00767	Normal
ov66__c00776	Normal
ov66__c00782	Normal
ov66__c00811	Normal
ov66__c00813	Normal
ov66__c00827	Normal
ov66__c00850	Normal
ov66__c00872	Normal
ov66__c00886	Normal
ov66__c00894	Normal
ov66__c00954	Normal
ov66__c00956	Normal
ov66__c00976	Tumor
ov66__c01005	Normal
ov66__c01017	Normal
ov66__c01024	Normal
ov66__c01032	Normal
ov66__c01036	Normal
ov66__c01058	Tumor
ov66__c01078	Normal
ov66__c01194	Tumor
ov66__c01198	Normal
ov66__c01204	Normal
ov66__c01211	Normal
ov66__c01218	Normal
ov66__c01233	Normal
ov66__c01253	Normal
ov66__c01272	Tumor
ov66__c01284	Normal
ov66__c01303	Normal
ov66__c01312	Normal
ov66__c01331	Normal
ov66__c01367	Normal
ov66__c01382	Normal
ov66__c01386	Normal
ov66__c01408	Normal
ov66__c01412	Normal
ov66__c01447	Normal
ov66__c01448	Normal
ov66__c01505	Normal
ov66__c01563	Normal
ov66__c01574	Tumor
ov66__c01597	Normal
ov66__c01608	Normal
ov66__c01617	Normal
ov66__c01620	Normal
ov66__c01625	Normal
ov66__c01642	Normal
ov66__c01649	Normal
ov66__c01652	Normal
ov66__c01674	Tumor
ov66__c01684	Normal
ov66__c01686	Tumor
ov66__c01691	Tumor
ov66__c01708	Normal
ov66__c01726	Normal
ov66__c01764	Tumor
ov66__c01775	Normal
ov66__c01779	Normal
ov66__c01781	Normal
ov66__c01785	Normal
ov66__c01817	Normal
ov66__c01833	Tumor
ov66__c01857	Normal
ov66__c01863	Normal
ov66__c01872	Normal
ov66__c01898	Normal
ov66__c01901	Normal
ov66__c01912	Tumor
ov66__c01946	Normal
ov66__c01964	Normal
ov66__c01977	Normal
ov66__c02013	Tumor
ov66__c02015	Normal
ov66__c02058	Normal
ov66__c02093	Normal
ov66__c02104	Normal
ov66__c02125	Normal
ov66__c02129	Normal
ov66__c02143	Tumor
ov66__c02165	Normal
ov66__c02172	Tumor
ov66__c02174	Normal
ov66__c02177	Normal
ov66__c02181	Normal
ov66__c02182	Normal
ov66__c02203	Tumor
ov66__c02211	Normal
ov66__c02227	Normal
ov66__c02230	Tumor
ov66__c02235	Normal
ov66__c02238	Normal
ov66__c02239	Normal
ov66__c02265	Normal
ov66__c02272	Normal
ov66__c02277	Tumor
ov66__c02288	Normal
ov66__c02307	Normal
ov66__c02344	Normal
ov66__c02352	Normal
ov66__c02368	Normal
ov66__c02370	Tumor
ov66__c02409	Normal
ov66__c02414	Normal
ov66__c02429	Normal
ov66__c02433	Normal
ov66__c02435	Normal
ov66__c02439	Normal
ov66__c02463	Normal
ov66__c02465	Normal
ov66__c02482	Normal
ov66__c02488	Normal
ov66__c02497	Tumor
ov66__c02500	Normal
ov66__c02503	Normal
ov66__c02520	Tumor
ov66__c02529	Normal
ov66__c02548	Normal
ov66__c02564	Normal
ov66__c02569	Tumor
ov66__c02649	Tumor
ov66__c02657	Normal
ov66__c02713	Normal
ov66__c02733	Normal
ov66__c02766	Tumor
ov66__c02778	Tumor
ov66__c02780	Normal
ov66__c02830	Tumor
ov66__c02840	Normal
ov66__c02841	Normal
ov66__c02851	Normal
ov66__c02897	Normal
ov66__c02902	Normal
ov66__c02906	Normal
ov66__c02926	Normal
ov66__c02930	Normal
ov66__c02946	Normal
ov66__c02957	Normal
ov66__c02962	Normal
ov66__c02975	Normal
ov66__c02977	Normal
ov66__c02980	Normal
ov66__c03049	Tumor
ov66__c03089	Tumor
ov66__c03118	Normal
ov66__c03123	Normal
ov66__c03150	Normal
ov66__c03171	Normal
ov66__c03174	Normal
ov66__c03188	Normal
ov66__c03208	Normal
ov66__c03219	Normal
ov66__c03278	Normal
ov66__c03297	Normal
ov66__c03360	Normal
ov66__c03393	Tumor
ov66__c03395	Normal
ov66__c03410	Normal
ov66__c03415	Normal
ov66__c03450	Normal
ov66__c03496	Normal
ov66__c03516	Normal
ov66__c03520	Normal
ov66__c03522	Tumor
ov66__c03528	Normal
ov66__c03553	Normal
ov66__c03559	Normal
ov66__c03571	Normal
ov66__c03585	Tumor
ov66__c03586	Normal
ov66__c03600	Normal
ov66__c03602	Normal
ov66__c03629	Normal
ov66__c03673	Normal
ov66__c03689	Tumor
ov66__c03705	Normal
ov66__c03749	Normal
ov66__c03750	Tumor
ov66__c03762	Tumor
ov66__c03766	Normal
ov66__c03790	Normal
ov66__c03808	Normal
ov66__c03818	Normal
ov66__c03827	Normal
ov66__c03861	Normal
ov66__c03875	Normal
ov66__c03881	Normal
ov66__c03898	Tumor
ov66__c03900	Normal
ov66__c03927	Tumor
ov66__c03938	Normal
ov66__c03964	Normal
ov66__c03974	Normal
ov66__c04059	Normal
ov66__c04061	Normal
ov66__c04085	Normal
ov66__c04102	Normal
ov66__c04106	Normal
ov66__c04109	Normal
ov66__c04123	Normal
ov66__c04137	Tumor
ov66__c04156	Tumor
ov66__c04201	Tumor
ov66__c04224	Normal
ov66__c04234	Normal
ov66__c04241	Normal
ov66__c04258	Normal
ov66__c04266	Normal
ov66__c04288	Normal
ov66__c04291	Tumor
ov66__c04304	Normal
ov66__c04307	Normal
ov66__c04322	Tumor
ov66__c04357	Normal
ov66__c04388	Normal
ov66__c04424	Normal
ov66__c04478	Normal
ov66__c04510	Normal
ov66__c04528	Normal
ov66__c04533	Normal
ov66__c04570	Normal
ov66__c04571	Normal
ov66__c04588	Normal
ov66__c04591	Tumor
ov66__c04629	Normal
ov66__c04636	Normal
ov66__c04647	Normal
ov66__c04669	Tumor
ov66__c04681	Normal
ov66__c04688	Tumor
ov66__c04690	Normal
ov66__c04704	Normal
ov66__c04790	Tumor
ov66__c04821	Normal
ov66__c04841	Normal
ov66__c04847	Normal
ov66__c04849	Tumor
ov66__c04873	Normal
ov66__c04875	Normal
ov66__c04878	Normal
ov66__c04898	Normal
ov66__c04908	Normal
ov70__c00002	Normal
ov70__c00074	Normal
ov70__c00086	Normal
ov70__c00092	Normal
ov70__c00095	Normal
ov70__c00120	Normal
ov70__c00123	Normal
ov70__c00137	Tumor
ov70__c00159	Normal
ov70__c00175	Normal
ov70__c00176	Normal
ov70__c00188	Normal
ov70__c00193	Normal
ov70__c00224	Normal
ov70__c00243	Normal
ov70__c00331	Normal
ov70__c00341	Normal
ov70__c00344	Normal
ov70__c00364	Tumor
ov70__c00381	Normal
ov70__c00387	Normal
ov70__c00414	Normal
ov70__c00428	Normal
ov70__c00434	Normal
ov70__c00462	Normal
ov70__c00468	Normal
ov70__c00492	Normal
ov70__c00511	Normal
ov70__c00552	Normal
ov70__c00622	Normal
ov70__c00629	Normal
ov70__c00637	Normal
ov70__c00654	Normal
ov70__c00676	Normal
ov70__c00708	Normal
ov70__c00732	Normal
ov70__c00747	Tumor
ov70__c00758	Normal
ov70__c00765	Normal
ov70__c00781	Normal
ov70__c00782	Normal
ov70__c00805	Normal
ov70__c00810	Normal
ov70__c00841	Normal
ov70__c00857	Normal
ov70__c00882	Normal
ov70__c00939	Normal
ov70__c00949	Normal
ov70__c00962	Tumor
ov70__c01034	Normal
ov70__c01048	Normal
ov70__c01054	Normal
ov70__c01073	Normal
ov70__c01078	Tumor
ov70__c01108	Normal
ov70__c01113	Normal
ov70__c01115	Normal
ov70__c01143	Normal
ov70__c01174	Normal
ov70__c01190	Normal
ov70__c01218	Normal
ov70__c01233	Normal
ov70__c01267	Normal
ov70__c01278	Normal
ov70__c01302	Normal
ov70__c01307	Normal
ov70__c01312	Normal
ov70__c01318	Normal
ov70__c01328	Normal
ov70__c01331	Normal
ov70__c01335	Normal
ov70__c01354	Tumor
ov70__c01398	Normal
ov70__c01408	Normal
ov70__c01430	Tumor
ov70__c01434	Normal
ov70__c01464	Normal
ov70__c01499	Normal
ov70__c01516	Normal
ov70__c01517	Normal
ov70__c01526	Normal
ov70__c01544	Normal
ov70__c01551	Normal
ov70__c01558	Normal
ov70__c01590	Normal
ov70__c01603	Normal
ov70__c01685	Normal
ov70__c01695	Tumor
ov70__c01697	Tumor
ov70__c01704	Normal
ov70__c01711	Normal
ov70__c01727	Normal
ov70__c01733	Normal
ov70__c01734	Normal
ov70__c01735	Normal
ov70__c01736	Normal
ov70__c01759	Normal
ov70__c01790	Normal
ov70__c01844	Normal
ov70__c01856	Normal
ov70__c01860	Tumor
ov70__c01865	Normal
ov70__c01873	Normal
ov70__c01874	Normal
ov70__c01883	Tumor
ov70__c01895	Normal
ov70__c01898	Normal
ov70__c01906	Normal
ov70__c01929	Normal
ov70__c01955	Normal
ov70__c01983	Normal
ov70__c01997	Normal
ov70__c02002	Normal
ov70__c02014	Normal
ov70__c02025	Normal
ov70__c02028	Normal
ov70__c02043	Normal
ov70__c02047	Normal
ov70__c02109	Normal
ov70__c02139	Normal
ov70__c02141	Normal
ov70__c02150	Normal
ov70__c02160	Normal
ov70__c02189	Normal
ov70__c02193	Normal
ov70__c02222	Normal
ov70__c02259	Normal
ov70__c02316	Normal
ov70__c02327	Normal
ov70__c02337	Normal
ov70__c02368	Normal
ov70__c02387	Normal
ov70__c02393	Normal
ov70__c02415	Normal
ov70__c02430	Normal
ov70__c02436	Normal
ov70__c02442	Normal
ov70__c02446	Normal
ov70__c02452	Normal
ov70__c02482	Normal
ov70__c02487	Normal
ov70__c02507	Normal
ov70__c02510	Normal
ov70__c02528	Normal
ov70__c02560	Normal
ov70__c02563	Normal
ov70__c02582	Tumor
ov70__c02583	Normal
ov70__c02597	Normal
ov70__c02608	Normal
ov70__c02613	Normal
ov70__c02636	Normal
ov70__c02645	Tumor
ov70__c02690	Normal
ov70__c02698	Normal
ov70__c02700	Normal
ov70__c02759	Normal
ov70__c02760	Normal
ov70__c02783	Normal
ov70__c02787	Normal
ov70__c02791	Normal
ov70__c02802	Normal
ov70__c02804	Normal
ov70__c02823	Normal
ov70__c02829	Normal
ov70__c02835	Normal
ov70__c02861	Normal
ov70__c02877	Normal
ov70__c02905	Normal
ov70__c02911	Normal
ov70__c02947	Normal
ov70__c02975	Tumor
ov70__c02983	Normal
ov70__c03014	Normal
ov70__c03015	Tumor
ov70__c03033	Normal
ov70__c03036	Normal
ov70__c03040	Tumor
ov70__c03062	Normal
ov70__c03093	Normal
ov70__c03096	Normal
ov70__c03101	Normal
ov70__c03144	Normal
ov70__c03155	Normal
ov70__c03165	Normal
ov70__c03180	Normal
ov70__c03185	Normal
ov70__c03202	Normal
ov70__c03211	Normal
ov70__c03248	Normal
ov70__c03254	Normal
ov70__c03266	Normal
ov70__c03272	Normal
ov70__c03275	Normal
ov70__c03280	Normal
ov70__c03282	Normal
ov70__c03303	Normal
ov70__c03324	Normal
ov70__c03381	Normal
ov70__c03395	Normal
ov70__c03456	Normal
ov70__c03471	Normal
ov70__c03480	Normal
ov70__c03506	Normal
ov70__c03508	Normal
ov70__c03511	Normal
ov70__c03515	Tumor
ov70__c03536	Tumor
ov70__c03546	Normal
ov70__c03549	Normal
ov70__c03634	Normal
ov70__c03636	Normal
ov70__c03669	Normal
ov70__c03675	Normal
ov70__c03687	Normal
ov70__c03699	Normal
ov70__c03707	Normal
ov70__c03729	Normal
ov70__c03732	Normal
ov70__c03758	Normal
ov70__c03788	Tumor
ov70__c03824	Normal
ov70__c03833	Normal
ov70__c03845	Normal
ov70__c03851	Normal
ov70__c03871	Normal
ov70__c03890	Normal
ov70__c03893	Normal
ov70__c03895	Normal
ov70__c03901	Normal
ov70__c03927	Normal
